文字,文字.1,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称.1,No.,Unnamed: 9
墜,墜,589C,22684,62198,uni589CuE0101-JP,13833,uni589C-JP,,
增,增,589E,22686,13836,uni589E-JP,13837,uni589E-CN,,
墫,墫,58AB,22699,13860,uni58AB-JP,13861,uni58AB-CN,,
墸,墸,58B8,22712,13880,uni58B8-JP,13881,uni58B8-CN,,
壳,壳,58F3,22771,13983,uni58F3-JP,13984,uni58F3-CN,77,
契,契,5951,22865,62203,uni5951uE0102-JP,58855,uniF909-JP,,
奝,奝,595D,22877,14159,uni595D-JP,14160,uni595D-CN,,
奟,奟,595F,22879,14163,uni595F-JP,14164,uni595F-CN,,
奠,奠,5960,22880,14165,uni5960-JP,62205,uni5960uE0101-JP,,
奢,奢,5962,22882,14169,uni5962-JP,62206,uni5962uE0101-JP,,
妄,妄,5984,22916,62208,uni5984uE0101-JP,14242,uni5984-JP,,
妥,妥,59A5,22949,62209,uni59A5uE0101-JP,14319,uni59A5-JP,,
姬,姬,59EC,23020,61818,u2F862-JP,14497,uni59EC-JP,,
娜,娜,5A1C,23068,62214,uni5A1CuE0101-JP,14616,uni5A1C-JP,,
媛,媛,5A9B,23195,62217,uni5A9BuE0101-JP,14909,uni5A9B-JP,,
媾,媾,5ABE,23230,62218,uni5ABEuE0101-JP,15004,uni5ABE-JP,,
嫌,嫌,5ACC,23244,62221,uni5ACCuE0101-JP,15042,uni5ACC-JP,,
嫚,嫚,5ADA,23258,62222,uni5ADAuE0101-JP,15073,uni5ADA-JP,,
嬴,嬴,5B34,23348,15290,uni5B34-JP,15291,uni5B34-KR,,
孚,孚,5B5A,23386,15369,uni5B5A-JP,62223,uni5B5AuE0101-JP,,
宬,宬,5BAC,23468,15530,uni5BAC-JP,15531,uni5BAC-KR,,
宵,宵,5BB5,23477,62229,uni5BB5uE0101-JP,15552,uni5BB5-JP,,
寒,寒,5BD2,23506,62230,uni5BD2uE0101-JP,15607,uni5BD2-JP,,
寽,寽,5BFD,23549,15704,uni5BFD-JP,15705,uni5BFD-CN,,
尊,尊,5C0A,23562,62235,uni5C0AuE0102-JP,15727,uni5C0A-CN,,
尦,尦,5C26,23590,15769,uni5C26-JP,15770,uni5C26-CN,,
屑,屑,5C51,23633,15836,uni5C51-JP,61916,uni5C51-JP90-JP,,
屠,屠,5C60,23648,15858,uni5C60-JP,61917,uni5C60-JP90-JP,,
層,層,5C64,23652,58923,uniFA3B-JP,15867,uni5C64-CN,,
崩,崩,5D29,23849,62239,uni5D29uE0101-JP,16262,uni5D29-CN,,
巨,巨,5DE8,24040,62247,uni5DE8uE0101-JP,16648,uni5DE8-JP,,
巩,巩,5DE9,24041,16650,uni5DE9-JP,16651,uni5DE9-CN,,
帝,帝,5E1D,24093,62249,uni5E1DuE0101-JP,16721,uni5E1D-JP,,
帾,帾,5E3E,24126,16769,uni5E3E-JP,16770,uni5E3E-CN,,
幔,幔,5E54,24148,62253,uni5E54uE0101-JP,16798,uni5E54-CN,,
幣,幣,5E63,24163,62254,uni5E63uE0101-JP,16823,uni5E63-JP,,
幤,幤,5E64,24164,16825,uni5E64-JP,16826,uni5E64-CN,,
平,平,5E73,24179,62256,uni5E73uE0101-JP,16854,uni5E73-CN,,
廉,廉,5EC9,24265,58865,uniF9A2-JP,17015,uni5EC9-JP,,
廊,廊,5ECA,24266,62259,uni5ECAuE0102-JP,17017,uni5ECA-JP,,
廟,廟,5EDF,24287,17069,uni5EDF-JP,61920,uni5EDF-JP90-JP,,
廠,廠,5EE0,24288,62263,uni5EE0uE0101-JP,17071,uni5EE0-JP,,
弊,弊,5F0A,24330,62270,uni5F0AuE0101-JP,17155,uni5F0A-CN,,
弱,弱,5F31,24369,62272,uni5F31uE0101-JP,17231,uni5F31-JP,,
弸,弸,5F38,24376,62273,uni5F38uE0101-JP,17244,uni5F38-JP,134,
彅,彅,5F45,24389,17268,uni5F45-JP,62274,uni5F45uE0101-JP,,
彩,彩,5F69,24425,62275,uni5F69uE0101-JP,17335,uni5F69-CN,,
彫,彫,5F6B,24427,61825,u2F89A-JP,17339,uni5F6B-JP,,
往,往,5F80,24448,62276,uni5F80uE0101-JP,17377,uni5F80-JP,,
径,径,5F84,24452,17382,uni5F84-JP,17383,uni5F84-CN,,
徜,徜,5F9C,24476,17417,uni5F9C-JP,17418,uni5F9C-CN,,
忘,忘,5FD8,24536,62281,uni5FD8uE0101-JP,17515,uni5FD8-JP,,
忙,忙,5FD9,24537,62282,uni5FD9uE0101-JP,17518,uni5FD9-JP,,
怦,怦,6026,24614,17640,uni6026-JP,17641,uni6026-CN,,
恐,恐,6050,24656,62285,uni6050uE0101-JP,17700,uni6050-JP,,
悄,悄,6084,24708,17785,uni6084-JP,17786,uni6084-CN,,
悎,悎,608E,24718,17805,uni608E-JP,17806,uni608E-CN,,
悜,悜,609C,24732,17828,uni609C-TW,17827,uni609C-CN,,
情,情,60C5,24773,62292,uni60C5uE0101-JP,17903,uni60C5-CN,,
惆,惆,60C6,24774,17905,uni60C6-JP,17906,uni60C6-CN,,
惘,惘,60D8,24792,17934,uni60D8-JP,17935,uni60D8-KR,,
惝,惝,60DD,24797,17945,uni60DD-JP,17946,uni60DD-CN,,
惮,惮,60EE,24814,17967,uni60EE-JP,17968,uni60EE-CN,,
愈,愈,6108,24840,18010,uni6108-JP,61926,uni6108-JP90-JP,,
愉,愉,6109,24841,62294,uni6109uE0101-JP,18013,uni6109-JP,,
意,意,610F,24847,62295,uni610FuE0101-JP,18027,uni610F-JP,,
慊,慊,614A,24906,18138,uni614A-JP,18139,uni614A-CN,,
慌,慌,614C,24908,62297,uni614CuE0101-JP,18144,uni614C-JP,,
慢,慢,6162,24930,62299,uni6162uE0101-JP,18183,uni6162-JP,,
慨,慨,6168,24936,18199,uni6168-KR,62302,uni6168uE0102-JP,,
慴,慴,6174,24948,18220,uni6174-JP,18222,uni6174-TW,,
憋,憋,618B,24971,18270,uni618B-JP,18271,uni618B-CN,,
憎,憎,618E,24974,58927,uniFA3F-JP,18277,uni618E-CN,,
憲,憲,61B2,25010,62308,uni61B2uE0102-JP,61828,u2F8AC-JP,,
懥,懥,61E5,25061,18437,uni61E5-JP,18438,uni61E5-CN,,
成,成,6210,25104,61829,u2F8B2-JP,18519,uni6210-CN,,
