標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
姸,59F8,23032,E0101,14531,uni59F8-MO-CL,uni59F8-CN,MSARG,IVS,
娇,5A07,23047,/,14566,uni5A07-CN,uni5A07-CN,/,All,
娛,5A1B,23067,E01EA,14614,uni5A1B-CL,uni5A1B-CN,PUA,All,
娞,5A1E,23070,E01EA,14621,uni5A1E-M,uni5A1E-CN,PUA,M,
娧,5A27,23079,E0102,14644,uni5A27uE0102-JP,uni5A27-CN,Hanyo-Denshi,IVS,
娱,5A31,23089,/,14666,uni5A31-CN,uni5A31-CN,/,All,
婁,5A41,23105,E0102,14699,uni5A41uE0102-JP,uni5A41-CN,Hanyo-Denshi,IVS,
婇,5A47,23111,E01EA,14717,uni5A47-M,uni5A47-CN,PUA,M,
婈,5A48,23112,E0102,14720,uni5A48uE0102-JP,uni5A48-CN,Hanyo-Denshi,IVS,
婊,5A4A,23114,/,14726,uni5A4A-CL,uni5A4A-CN,/,All,
婧,5A67,23143,E0102,14793,uni5A67-M,uni5A67-CN,Hanyo-Denshi,M,
婬,5A6C,23148,E0102,14806,uni5A6C-M,uni5A6C-CN,Hanyo-Denshi,M,
婴,5A74,23156,/,14820,uni5A74-CN,uni5A74-CN,/,All,
婵,5A75,23157,/,14821,uni5A75-CN,uni5A75-CN,/,All,
婶,5A76,23158,/,14822,uni5A76-CN,uni5A76-CN,/,All,
媐,5A90,23184,E01EA,14880,uni5A90-M,uni5A90-CN,PUA,M,
媖,5A96,23190,E0102,14898,uni5A96uE0102-JP,uni5A96-CN,Hanyo-Denshi,IVS,
媢,5AA2,23202,E0102,14930,uni5AA2uE0102-JP,uni5AA2-CN,Hanyo-Denshi,IVS,
媯,5AAF,23215,/,14962,uni5AAF-M,uni5AAF-CN,/,All,
媺,5ABA,23226,E0102,14993,uni5ABAuE0102-JP,uni5ABA-CN,Hanyo-Denshi,IVS,
媾,5ABE,23230,E0104,15005,uni5ABE-CL,uni5ABE-CN,Hanyo-Denshi,CL,
嫁,5AC1,23233,E0102,15014,uni5AC1uE0102-JP,uni5AC1-CN,Hanyo-Denshi,IVS,
嫂,5AC2,23234,E0104,15018,uni5AC2-CM,uni5AC2-TW,Hanyo-Denshi,CM,
嫗,5AD7,23255,E0102,15066,uni5AD7uE0102-JP,uni5AD7-CN,Hanyo-Denshi,IVS,
嫘,5AD8,23256,/,15068,uni5AD8-CL,uni5AD8-CN,/,All,
嫡,5AE1,23265,E0102,15094,uni5AE1uE0102-JP,uni5AE1-CN,Hanyo-Denshi,IVS,
嫲,5AF2,23282,E01EA,15136,uni5AF2-CL,uni5AF2-CN,PUA,All,
嫲,5AF2,23282,E01EB,15137,uni5AF2-V,uni5AF2-HK,PUA,IVS,
嬤,5B24,23332,E01EA,15251,uni5B24-CL,uni5B24-CN,PUA,"CL,M",
嬤,5B24,23332,E01EB,15252,uni5B24-CM,uni5B24-TW,PUA,CM,
嬴,5B34,23348,E0102,15292,uni5B34uE0102-JP,uni5B34-CN,Hanyo-Denshi,IVS,
嬴,5B34,23348,E0104,15293,uni5B34uE0103-JP,uni5B34-TW,Hanyo-Denshi,IVS,
嬶,5B36,23350,E0102,15299,uni5B36uE0102-JP,uni5B38-CN,Hanyo-Denshi,IVS,
嬷,5B37,23351,E01EA,15294,uni5B37-CL,uni5B34-HK,PUA,"CL,M",
嬷,5B37,23351,E01EB,15297,uni5B37-CM,uni5B37-CN,PUA,CM,
孓,5B53,23379,/,15357,uni5B53-CL,uni5B53-CN,/,All,
孢,5B62,23394,/,15384,uni5B62-CL,uni5B62-CN,/,All,
孤,5B64,23396,E0102,15389,uni5B64uE0102-JP,uni5B64-CN,Hanyo-Denshi,IVS,
孤,5B64,23396,E0103,15390,uni5B64uE0103-JP,uni5B64-TW,Hanyo-Denshi,IVS,
孩,5B69,23401,E0102,15400,uni5B69uE0102-JP,uni5B69-CN,Hanyo-Denshi,IVS,
孪,5B6A,23402,/,15401,uni5B6A-CM,uni5B6A-CN,/,All,
孫,5B6B,23403,E0102,15403,uni5B6BuE0102-JP,uni5B6B-CN,Hanyo-Denshi,IVS,
孰,5B70,23408,E0102,15413,uni5B70uE0102-JP,uni5B70-CN,Hanyo-Denshi,IVS,
孵,5B75,23413,E0102,15421,uni5B75-CM,uni5B75-CN,Hanyo-Denshi,"M,CM",
孶,5B76,23414,E0102,15423,uni5B76uE0102,uni5B76-CN,Hanyo-Denshi,IVS,
孽,5B7D,23421,E0102,15437,uni5B7DuE0102-JP,uni5B7D-CN,Hanyo-Denshi,IVS,
宂,5B82,23426,E0102,15447,uni5B82uE0102-JP,uni5B82-CN,Hanyo-Denshi,IVS,
宅,5B85,23429,E0102,15454,uni5B85uE0102-JP,uni5B85-CN,Hanyo-Denshi,IVS,
实,5B9E,23454,/,15507,uni5B9E-CN,uni5B9E-CN,/,All,
宠,5BA0,23456,/,15510,uni5BA0-CN,uni5BA0-CN,/,All,
审,5BA1,23457,/,15511,uni5BA1-CN,uni5BA1-CN,/,All,
宣,5BA3,23459,E0102,15515,uni5BA3uE0102-JP,uni5BA3-CN,Hanyo-Denshi,IVS,
宣,5BA3,23459,E0103,15513,uni5BA3uE0103-JP,uni5BA2-CN,Hanyo-Denshi,IVS,
室,5BA4,23460,E0102,15517,uni5BA4uE0102-JP,uni5BA4-CN,Hanyo-Denshi,IVS,
宪,5BAA,23466,/,15528,uni5BAA-CN,uni5BAA-CN,/,All,
宫,5BAB,23467,/,15529,uni5BAB-CM,uni5BAB-CN,/,All,
宭,5BAD,23469,E0102,15534,uni5BADuE0102-JP,uni5BAD-CN,Hanyo-Denshi,IVS,
宲,5BB2,23474,E0102,15544,uni5BB2-CL,uni5BB2-CN,Hanyo-Denshi,All,
害,5BB3,23475,E01EA,15546,uni5BB3-CM,uni5BB3-CN,PUA,CM,
家,5BB6,23478,E0102,15556,uni5BB6uE0102-JP,uni5BB6-CN,Hanyo-Denshi,IVS,
宻,5BBB,23483,E0100,15565,uni5BBB-CL,uni5BBA-CN,Hanyo-Denshi,All,
宻,5BBB,23483,E0101,15566,uni5BBBuE0102-JP,uni5BBB-CN,Hanyo-Denshi,IVS,
宽,5BBD,23485,/,15569,uni5BBD-CN,uni5BBD-CN,/,All,
宾,5BBE,23486,/,15570,uni5BBE-CN,uni5BBE-CN,/,All,
寀,5BC0,23488,E0102,15574,uni5BC0-M,uni5BC0-CN,Hanyo-Denshi,M,
寅,5BC5,23493,E0102,15584,uni5BC5uE0102-JP,uni5BC5-CN,Hanyo-Denshi,IVS,
寇,5BC7,23495,E0102,15588,uni5BC7uE0102-JP,uni5BC7-CN,Hanyo-Denshi,IVS,
寈,5BC8,23496,E0100,15586,uni5BC8-CL,uni5BC6-CN,Hanyo-Denshi,"CL,CM",
寈,5BC8,23496,E0101,15589,uni5BC8-M,uni5BC8-CN,Hanyo-Denshi,M,
寏,5BCF,23503,E0102,15601,uni5BCF-KX,uni5BCF-CN,Hanyo-Denshi,All,
寐,5BD0,23504,E0102,15604,uni5BD0uE0102-JP,uni5BD0-CN,Hanyo-Denshi,IVS,
寐,5BD0,23504,E01EB,15608,uni5BD0-CM,uni5BD2-CN,PUA,CM,
寕,5BD5,23509,E0100,15613,uni5BD5-CM,uni5BD4-CN,Hanyo-Denshi,All,
寕,5BD5,23509,E0101,15614,uni5BD5uE0101-JP,uni5BD5-CN,Hanyo-Denshi,IVS,
寗,5BD7,23511,E0102,15619,uni5BD7-M,uni5BD7-CN,Hanyo-Denshi,M,
寘,5BD8,23512,E01EA,15621,uni5BD8-M,uni5BD8-CN,Hanyo-Denshi,M,
寙,5BD9,23513,E0102,15624,uni5BD9uE0102-JP,uni5BD9-CN,Hanyo-Denshi,IVS,
寛,5BDB,23515,E0103,15629,uni5BDBuE0103-JP,uni5BDB-CN,Hanyo-Denshi,IVS,
寜,5BDC,23516,/,15630,uni5BDC-CL,uni5BDC-CN,/,All,
寝,5BDD,23517,E01EA,15632,uni5BDD-CM,uni5BDD-CN,PUA,All,
寞,5BDE,23518,E0102,15634,uni5BDEuE0102-JP,uni5BDE-CN,Hanyo-Denshi,IVS,
寢,5BE2,23522,E0102,15646,uni5BE2uE0102-JP,uni5BE2-CN,Hanyo-Denshi,IVS,
寤,5BE4,23524,E0102,15650,uni5BE4-CM,uni5BE4-CN,Hanyo-Denshi,CM,
寥,5BE5,23525,E0102,15653,uni5BE5-M,uni5BE5-CN,Hanyo-Denshi,"M,CM",
寬,5BEC,23532,E0102,15671,uni5BECuE0102-JP,uni5BEC-CN,Hanyo-Denshi,IVS,
寵,5BF5,23541,E0102,15692,uni5BF5uE0102-JP,uni5BF5-CN,Hanyo-Denshi,IVS,
寵,5BF5,23541,E0103,15693,uni5BF5uE0103-JP,uni5BF5-TW,Hanyo-Denshi,IVS,
射,5C04,23556,E0102,15716,uni5C04uE0102-JP,uni5C04-CN,Moji-Joho,IVS,
将,5C06,23558,E0103,15720,uni5C06uE0103-JP,uni5C06-CN,Hanyo-Denshi,M,
將,5C07,23559,E0102,15728,uni5C07uE0102-JP,uni5C0A-TW,Hanyo-Denshi,IVS,
將,5C07,23559,E0103,15722,uni5C07uE0103-JP,uni5C07-CN,Hanyo-Denshi,IVS,
將,5C07,23559,E0104,15723,uni5C07uE0104-JP,uni5C07-TW,Hanyo-Denshi,IVS,
專,5C08,23560,E0102,15732,uni5C08uE0102-JP,uni5C0D-CN,Hanyo-Denshi,IVS,
尉,5C09,23561,E0102,15726,uni5C09uE0102-JP,uni5C09-TW,Hanyo-Denshi,IVS,
尘,5C18,23576,/,15751,uni5C18-CL,uni5C18-CN,/,All,
尝,5C1D,23581,/,15757,uni5C1D-CN,uni5C1D-CN,/,All,
尨,5C28,23592,E0104,15773,uni5C28uE0104-JP,uni5C28-CN,Moji-Joho,IVS,
尲,5C32,23602,E01EA,15787,uni5C32-M,uni5C32-CN,PUA,M,
尴,5C34,23604,/,15791,uni5C34-CN,uni5C34-CN,/,All,
尹,5C39,23609,E0102,15798,uni5C39uE0102-JP,uni5C38-CN,Hanyo-Denshi,IVS,
层,5C42,23618,/,15812,uni5C42-CN,uni5C42-CN,/,All,
屄,5C44,23620,E0100,15814,uni5C44uE0100-JP,uni5C44-CN,Hanyo-Denshi,IVS,
屄,5C44,23620,E0101,15815,uni5C44-CL,uni5C44-TW,Hanyo-Denshi,All,
屆,5C46,23622,E0102,15819,uni5C46uE0102-JP,uni5C46-CN,Hanyo-Denshi,All,
屉,5C49,23625,/,15823,uni5C49-CL,uni5C49-CN,/,All,
屏,5C4F,23631,E0102,15834,uni5C4FuE0102-JP,uni5C4F-CN,Moji-Joho,IVS,
展,5C55,23637,E0102,15844,uni5C55uE0102-JP,uni5C55-CN,Hanyo-Denshi,IVS,
屘,5C58,23640,E0100,15842,uni5C58uE0100-JP,uni5C54-TW,Hanyo-Denshi,IVS,
屘,5C58,23640,E0101,15847,uni5C58-CL,uni5C58-CN,Hanyo-Denshi,All,
屯,5C6F,23663,E0102,15888,uni5C6FuE0102-JP,uni5C6F-CN,Hanyo-Denshi,IVS,
屵,5C75,23669,E0102,15896,uni5C75uE0102-JP,uni5C73-TW,Hanyo-Denshi,IVS,
屿,5C7F,23679,/,15919,uni5C7F-CM,uni5C7F-CN,/,All,
岁,5C81,23681,/,15921,uni5C81-CN,uni5C81-CN,/,All,
岈,5C88,23688,E0102,15933,uni5C88-CL,uni5C88-CN,Hanyo-Denshi,All,
岋,5C8B,23691,E0100,15939,uni5C8B-CL,uni5C8B-CN,Hanyo-Denshi,All,
岋,5C8B,23691,E0101,15940,uni5C8BuE0101-JP,uni5C8B-TW,Hanyo-Denshi,IVS,
岌,5C8C,23692,E0102,15943,uni5C8CuE0102,uni5C8C-CN,Hanyo-Denshi,IVS,
岍,5C8D,23693,E0100,15944,uni5C8D-M,uni5C8D-CN,Hanyo-Denshi,M,
岍,5C8D,23693,E0101,15945,uni5C8D-CL,uni5C8D-TW,Hanyo-Denshi,"CL,CM",
岑,5C91,23697,E0102,15954,uni5C91uE0102-JP,uni5C91-CN,Hanyo-Denshi,IVS,
岔,5C94,23700,E0102,15962,uni5C94uE0102-JP,uni5C94-CN,Hanyo-Denshi,IVS,
岖,5C96,23702,/,15965,uni5C96-CM,uni5C96-CN,/,All,
岛,5C9B,23707,/,15970,uni5C9B-CN,uni5C9B-CN,/,All,
岠,5CA0,23712,E01EA,15979,uni5CA0-M,uni5CA0-CN,PUA,M,
岩,5CA9,23721,E0102,15998,uni5CA9uE0102-JP,uni5CA8-TW,Hanyo-Denshi,IVS,
岭,5CAD,23725,E0101,16010,uni5CAD-MO,uni5CAD-TW,MSARG,IVS,
岸,5CB8,23736,E0102,16033,uni5CB8uE0102-JP,uni5CB7-TW,Hanyo-Denshi,IVS,
岺,5CBA,23738,E0102,16037,uni5CBAuE0102-JP,uni5CBA-CN,Hanyo-Denshi,IVS,
岻,5CBB,23739,E0102,16040,uni5CBBuE0102-JP,uni5CBB-CN,Hanyo-Denshi,IVS,
岼,5CBC,23740,E0102,16042,uni5CBC-M,uni5CBC-CN,Hanyo-Denshi,M,
峀,5CC0,23744,E0100,16045,uni5CC0uE0100-JP,uni5CBE-CN,Hanyo-Denshi,IVS,
峥,5CE5,23781,/,16111,uni5CE5-CM,uni5CE5-CN,/,All,
峭,5CED,23789,E0102,16127,uni5CED-M,uni5CED-CN,Hanyo-Denshi,"M,CM",
島,5CF6,23798,E0102,16149,uni5CF6uE0102-JP,uni5CF5-HK,Hanyo-Denshi,IVS,
島,5CF6,23798,E0103,16151,uni5CF6uE0103-JP,uni5CF6-CN,Hanyo-Denshi,IVS,
峻,5CFB,23803,E0102,16160,uni5CFBuE0102-JP,uni5CFB-CN,Hanyo-Denshi,IVS,
峻,5CFB,23803,E0103,16161,uni5CFBuE0103-JP,uni5CFB-TW,Hanyo-Denshi,IVS,
峼,5CFC,23804,E0100,16163,uni5CFC-CL,uni5CFC-CN,Hanyo-Denshi,"CL,CM",
峼,5CFC,23804,E0101,16164,uni5CFC-M,uni5CFC-HK,Hanyo-Denshi,M,
崆,5D06,23814,E0102,16179,uni5D06uE0102-JP,uni5D06-CN,Hanyo-Denshi,IVS,
崋,5D0B,23819,E0102,16188,uni5D0BuE0102-JP,uni5D0B-TW,Hanyo-Denshi,IVS,
崎,5D0E,23822,E0102,16195,uni5D0EuE0102-JP,uni5D0E-CN,Hanyo-Denshi,IVS,
崙,5D19,23833,E0102,16220,uni5D19uE0102-JP,uni5D19-CN,Hanyo-Denshi,IVS,
崚,5D1A,23834,E0102,16222,uni5D1AuE0102-JP,uni5D1A-CN,Hanyo-Denshi,IVS,
崝,5D1D,23837,E0102,16230,uni5D1D-M,uni5D1D-CN,Hanyo-Denshi,M,
崢,5D22,23842,E0102,16242,uni5D22uE0102-JP,uni5D22-CN,Hanyo-Denshi,M,
崧,5D27,23847,E0102,16258,uni5D27uE0102-JP,uni5D27-CN,Hanyo-Denshi,IVS,
崭,5D2D,23853,/,16267,uni5D2D-CN,uni5D2D-CN,/,All,
崿,5D3F,23871,E0102,16301,uni5D3FuE0102-JP,uni5D3F-CN,Hanyo-Denshi,IVS,
嵁,5D41,23873,E0101,16305,uni5D41uE0101-JP,uni5D41-CN,Moji-Joho,IVS,
嵅,5D45,23877,E0101,16313,uni5D45uE0101-JP,uni5D45-TW,Hanyo-Denshi,IVS,
嵆,5D46,23878,E0102,16315,uni5D46uE0102-JP,uni5D46-CN,Hanyo-Denshi,IVS,
嵈,5D48,23880,E01EA,16320,uni5D48-M,uni5D48-CN,PUA,M,
嵠,5D60,23904,E01EA,16367,uni5D60-M,uni5D60-CN,PUA,M,
嵩,5D69,23913,E0102,16386,uni5D69uE0102-JP,uni5D69-CN,Hanyo-Denshi,IVS,
嵰,5D70,23920,E01EA,16401,uni5D70-M,uni5D70-CN,PUA,M,
嵶,5D76,23926,E0102,16415,uni5D76-M,uni5D76-CN,Hanyo-Denshi,M,
嵹,5D79,23929,E01EA,16420,uni5D79-CL,uni5D79-CN,PUA,"CL,CM",
嵺,5D7A,23930,E0102,16423,uni5D7A-M,uni5D7A-CN,Hanyo-Denshi,M,
嶂,5D82,23938,E0102,16441,uni5D82uE0102-JP,uni5D82-CN,Hanyo-Denshi,IVS,
嶇,5D87,23943,E0103,16452,uni5D87uE0103-JP,uni5D87-CN,Hanyo-Denshi,IVS,
嶒,5D92,23954,E0102,16471,uni5D92uE0102-JP,uni5D92-CN,Hanyo-Denshi,IVS,
嶒,5D92,23954,E01EA,16472,uni5D92-M,uni5D92-TW,PUA,M,
嶟,5D9F,23967,E01EA,16504,uni5D9F-M,uni5D9F-CN,PUA,M,
巅,5DC5,24005,E01EA,16582,uni5DC5-CL-CN,uni5DC3-TW,PUA,CL,
巅,5DC5,24005,E01EB,16584,uni5DC5-CN,uni5DC5-CN,PUA,"M,CM",
巔,5DD4,24020,/,16614,uni5DD4-M,uni5DD4-CN,/,All,
巍,5DCD,24013,E0101,16600,uni5DCDuE0101-JP,uni5DCD-CN,Moji-Joho,IVS,
巍,5DCD,24013,E0104,16601,uni5DCDuE0104-JP,uni5DCD-TW,Moji-Joho,IVS,
巟,5DDF,24031,E0100,16634,uni5DDF-CL,uni5DDF-CN,Moji-Joho,"CL,CM",
巟,5DDF,24031,E0101,16635,uni5DDF-M,uni5DDF-TW,Moji-Joho,M,
巢,5DE2,24034,E0102,16638,uni5DE2uE0102-JP,uni5DE1-CN,Hanyo-Denshi,IVS,
巢,5DE2,24034,E0103,16639,uni5DE2uE0103-JP,uni5DE1-TW,Hanyo-Denshi,IVS,
左,5DE6,24038,E0102,16647,uni5DE7uE0102-JP,uni5DE7-CN,Hanyo-Denshi,IVS,
巷,5DF7,24055,E0104,16666,uni5DF7uE0104-JP,uni5DF5-CN,Hanyo-Denshi,IVS,
巸,5DF8,24056,E0102,16670,uni5DF8uE0102-JP,uni5DF8-CN,Hanyo-Denshi,IVS,
巸,5DF8,24056,E0103,16672,uni5DF8-M,uni5DF9-CN,Hanyo-Denshi,M,
巻,5DFB,24059,E0103,16649,uni5DFBuE0103-JP,uni5DE8-CN,Hanyo-Denshi,IVS,
巽,5DFD,24061,E0104,16677,uni5DFDuE0104-JP,uni5DFD-TW,Moji-Joho,IVS,
市,5E02,24066,E0100,16683,uni5E02-JP,uni5E02-JP,Adobe-Japan1,All,AJ1 Glyph Replacement
帉,5E09,24073,E0101,16689,uni5E09uE0101-JP,uni5E06-HK,Hanyo-Denshi,IVS,
帐,5E10,24080,/,16702,uni5E10-CN,uni5E10-CN,/,All,
帓,5E13,24083,E0101,16705,uni5E13uE0101-JP,uni5E11-TW,Hanyo-Denshi,IVS,
師,5E2B,24107,E0102,16725,uni5E2BuE0102-JP,uni5E1F-CN,Hanyo-Denshi,IVS,
師,5E2B,24107,E0103,16726,uni5E2BuE0103-JP,uni5E1F-TW,Moji-Joho,IVS,
師,5E2B,24107,E0104,16727,uni5E2BuE0104-JP,uni5E1F-HK,Moji-Joho,IVS,
帯,5E2F,24111,E0102,16758,uni5E2FuE0102-JP,uni5E35-CN,Moji-Joho,IVS,
帰,5E30,24112,E0103,16755,uni5E30-CM,uni5E33-CN,Hanyo-Denshi,All,
幃,5E43,24131,E0104,16776,uni5E43uE0104-JP,uni5E43-CN,Moji-Joho,IVS,
幙,5E59,24153,E0100,16805,uni5E59-CL,uni5E59-TW,Hanyo-Denshi,All,
幙,5E59,24153,E0101,16799,uni5E59uE0101-JP,uni5E54-TW,Hanyo-Denshi,IVS,
幛,5E5B,24155,E0102,16808,uni5E5BuE0102-JP,uni5E5B-CN,Hanyo-Denshi,IVS,
幟,5E5F,24159,E0102,16816,uni5E5FuE0102-JP,uni5E5F-CN,Hanyo-Denshi,IVS,
幠,5E60,24160,/,16817,uni5E60-CL,uni5E60-TW,/,All,
幢,5E62,24162,E0102,16822,uni5E62uE0102-JP,uni5E62-CN,Hanyo-Denshi,IVS,
幪,5E6A,24170,E0102,16836,uni5E6AuE0102-JP,uni5E6A-CN,Hanyo-Denshi,IVS,
幪,5E6A,24170,E0103,16837,uni5E6AuE0103-JP,uni5E6A-TW,Hanyo-Denshi,IVS,
幯,5E6F,24175,E0100,16843,uni5E6FuE0100-JP,uni5E6E-CN,Hanyo-Denshi,IVS,
幯,5E6F,24175,E0101,16844,uni5E6F-CL,uni5E6F-CN,Hanyo-Denshi,"CL,CM",
幯,5E6F,24175,E0102,16845,uni5E6F-M,uni5E6F-TW,Hanyo-Denshi,M,
幰,5E70,24176,E0102,16848,uni5E70-M,uni5E70-CN,Hanyo-Denshi,M,
年,5E74,24180,E0102,16860,uni5E74uE0102-JP,uni5E76-CN,Hanyo-Denshi,IVS,
幸,5E78,24184,E0102,16863,uni5E78uE0102-JP,uni5E78-CN,Hanyo-Denshi,IVS,
幾,5E7E,24190,E0103,16876,uni5E7EuE0103-JP,uni5E7E-CN,Hanyo-Denshi,IVS,
庅,5E85,24197,/,16890,uni5E83-CM,uni5E85-CN,/,All,
庆,5E86,24198,/,16891,uni5E86-CN,uni5E86-CN,/,All,
庐,5E90,24208,E01EB,16910,uni5E90-CM,uni5E90-CN,PUA,CM,
庒,5E92,24210,E0100,16889,uni5E92uE0100-JP,uni5E84-CN,Hanyo-Denshi,IVS,
庒,5E92,24210,E0101,16912,uni5E92-CL,uni5E92-CN,Hanyo-Denshi,All,
库,5E93,24211,/,16913,uni5E93-CN,uni5E93-CN,/,All,
应,5E94,24212,/,16914,uni5E94-CN,uni5E94-CN,/,All,
底,5E95,24213,E0102,16916,uni5E95uE0102-JP,uni5E95-CN,Hanyo-Denshi,IVS,
庞,5E9E,24222,/,16932,uni5E9E-CN,uni5E9E-CN,/,All,
废,5E9F,24223,/,16933,uni5E9F-CN,uni5E9F-CN,/,All,
庬,5EAC,24236,E0102,16958,uni5EACuE0102-JP,uni5EAC-CN,Hanyo-Denshi,IVS,
庬,5EAC,24236,E0103,16959,uni5EACuE0103-JP,uni5EAC-TW,Hanyo-Denshi,IVS,
庶,5EB6,24246,E0102,16978,uni5EB6uE0102-JP,uni5EB6-CN,Hanyo-Denshi,IVS,
康,5EB7,24247,E0102,16980,uni5EB7uE0102-JP,uni5EB7-CN,Hanyo-Denshi,IVS,
庾,5EBE,24254,E0102,16996,uni5EBEuE0102-JP,uni5EBE-CN,Hanyo-Denshi,"CL,CM",
庿,5EBF,24255,E0102,16998,uni5EBFuE0102,uni5EBF-CN,Hanyo-Denshi,IVS,
廄,5EC4,24260,/,17006,uni5EC4-M,uni5EC4-CN,/,All,
廐,5ED0,24272,E0103,17030,uni5ED0uE0103-JP,uni5ECF-CN,Hanyo-Denshi,IVS,
廐,5ED0,24272,E0105,17033,uni5ED0-M,uni5ED0-CN,Hanyo-Denshi,M,
廐,5ED0,24272,E0106,17034,uni5ED0uE0106-JP,uni5ED0-HK,Hanyo-Denshi,IVS,
廖,5ED6,24278,E0102,17050,uni5ED6-M,uni5ED6-CN,Hanyo-Denshi,"M,CM",
廜,5EDC,24284,E01EA,17064,uni5EDC-M,uni5EDC-CN,PUA,M,
廳,5EF3,24307,E01EA,17112,uni5EF3-KX,uni5EF3-CN,PUA,IVS,
廷,5EF7,24311,E0103,17121,uni5EF7uE0103-JP,uni5EF7-CN,Hanyo-Denshi,IVS,
廸,5EF8,24312,E0104,17123,uni5EF8uE0104-MO,uni5EF8-CN,MSARG,IVS,
弓,5F13,24339,E0102,17170,uni5F13uE0102-JP,uni5F13-CN,Hanyo-Denshi,IVS,
弓,5F13,24339,E0103,17168,uni5F13uE0103-JP,uni5F12-TW,Hanyo-Denshi,IVS,
张,5F20,24352,E0100,17195,uni5F20-CN,uni5F20-CN,Hanyo-Denshi,All,
张,5F20,24352,E0101,17192,uni5F20uE0101-JP,uni5F1E-CN,Hanyo-Denshi,IVS,
弡,5F21,24353,E0102,17197,uni5F21-M,uni5F21-CN,Hanyo-Denshi,M,
弢,5F22,24354,E0102,17199,uni5F22uE0102-JP,uni5F22-CN,Hanyo-Denshi,IVS,
弢,5F22,24354,E01EA,61823,u2F894-CL,u2F894-HK,PUA,IVS,*
弥,5F25,24357,E0103,17206,uni5F25uE0103-JP,uni5F25-CN,Hanyo-Denshi,M,
弧,5F27,24359,E0102,17211,uni5F27uE0102-JP,uni5F27-CN,Hanyo-Denshi,IVS,
弮,5F2E,24366,E0102,17225,uni5F2E-M,uni5F2E-CN,Hanyo-Denshi,M,
弰,5F30,24368,E01EA,17229,uni5F30-M,uni5F30-CN,PUA,M,
弹,5F39,24377,/,17246,uni5F39-CN,uni5F39-CN,/,All,
彄,5F44,24388,E0102,17266,uni5F44-CL,uni5F44-CN,Hanyo-Denshi,All,
彆,5F46,24390,E01EB,17270,uni5F46-M,uni5F46-CN,PUA,"M,CM",
录,5F55,24405,E0100,17296,uni5F55-JP,uni5F54-CN,Hanyo-Denshi,All,
录,5F55,24405,E0101,17297,uni5F55uE0101-JP,uni5F54-TW,Hanyo-Denshi,IVS,
录,5F55,24405,E0102,17298,uni5F55uE0102-MO,uni5F54-HK,MSARG,IVS,
彗,5F57,24407,E0102,17303,uni5F57uE0102-JP,uni5F57-CN,Hanyo-Denshi,IVS,
彗,5F57,24407,E0103,17304,uni5F57uE0103-JP,uni5F57-TW,Moji-Joho,IVS,
彜,5F5C,24412,E0102,17314,uni5F5CuE0102-JP,uni5F5C-CN,Hanyo-Denshi,IVS,
彞,5F5E,24414,E0100,17318,uni5F5E-CM,uni5F5E-CN,Hanyo-Denshi,CM,
彞,5F5E,24414,E0101,17319,uni5F5E-CL,uni5F5E-TW,Hanyo-Denshi,"CL,M",
彥,5F65,24421,E01EA,17330,uni5F65-CL,uni5F65-CN,PUA,All,
彰,5F70,24432,E0102,17348,uni5F70uE0102,uni5F70-CN,Hanyo-Denshi,IVS,
彴,5F74,24436,E0102,17353,uni5F74-CL,uni5F72-HK,Hanyo-Denshi,"CL,CM",
彻,5F7B,24443,/,17367,uni5F7B-CN,uni5F7B-CN,/,All,
徆,5F86,24454,E0101,17385,uni5F86uE0101-JP,uni5F85-TW,Hanyo-Denshi,IVS,
後,5F8C,24460,E0102,17395,uni5F8CuE0102-JP,uni5F8C-CN,Hanyo-Denshi,IVS,
徐,5F90,24464,E0102,17401,uni5F90uE0102-JP,uni5F90-CN,Hanyo-Denshi,IVS,
御,5FA1,24481,E0105,17427,uni5FA1uE0105-JP,uni5FA1-TW,Moji-Joho,IVS,
徬,5FAC,24492,E0102,17447,uni5FACuE0102-JP,uni5FAC-CN,Hanyo-Denshi,IVS,
微,5FAE,24494,E0105,17453,uni5FAE-CL,uni5FAE-CN,Moji-Joho,All,
徯,5FAF,24495,E01EA,17456,uni5FAF-M,uni5FAF-CN,PUA,M,
德,5FB7,24503,E0101,17468,uni5FB7uE0101-JP,uni5FB7-CN,Hanyo-Denshi,All,
忣,5FE3,24547,E0101,17538,uni5FE3uE0101-JP,uni5FE3-CN,Hanyo-Denshi,IVS,
忿,5FFF,24575,E0102,17584,uni5FFFuE0102-JP,uni5FFF-CN,Hanyo-Denshi,IVS,
怅,6005,24581,/,17591,uni6005-CN,uni6005-CN,/,All,
怜,601C,24604,E0102,17623,uni601CuE0102-JP,uni601C-CN,Hanyo-Denshi,IVS,
恐,6050,24656,E0104,17701,uni6060uE0104-JP,uni6050-CN,Hanyo-Denshi,IVS,
恝,605D,24669,E0102,17723,uni605DuE0102-JP,uni605D-CN,Hanyo-Denshi,M,
恱,6071,24689,E0102,17760,uni6071uE0102-JP,uni6071-CN,Hanyo-Denshi,IVS,
恳,6073,24691,/,17762,uni6073-CN,uni6073-CN,/,All,
恼,607C,24700,/,17772,uni607C-CM,uni607C-CN,/,All,
