標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
偯,506F,20591,/,10439,uni506F-CL,uni506F-CN,/,All,
偷,5077,20599,E0101,10454,uni5077uE0101-JP,uni5077-TW,Hanyo-Denshi,IVS,
偷,5077,20599,E0102,10453,uni5077-M,uni5077-CN,Hanyo-Denshi,M,
偿,507F,20607,/,10464,uni507F-CN,uni507F-CN,/,All,
傍,508D,20621,E0102,10488,uni508DuE0102-JP,uni508D-CN,Hanyo-Denshi,IVS,
傎,508E,20622,E0102,10490,uni508E-M,uni508E-CN,Moji-Joho,M,
備,5099,20633,E0102,10516,uni5099uE0102-JP,uni5099-CN,Hanyo-Denshi,IVS,
傢,50A2,20642,E0102,10539,uni50A2uE0102-JP,uni50A2-CN,Hanyo-Denshi,IVS,
储,50A8,20648,/,10548,uni50A8-CN,uni50A8-CN,/,All,
傻,50BB,20667,E0102,10583,uni50BBuE0102-JP,uni50BB-CN,Hanyo-Denshi,IVS,
僇,50C7,20679,E01EA,10606,uni50C7-M,uni50C7-CN,PUA,M,
像,50CF,20687,E0104,10622,uni50CFuE0104-JP,uni50CF-TW,Hanyo-Denshi,IVS,
僮,50EE,20718,E0102,10680,uni50EEuE0102-JP,uni50EE-CN,Hanyo-Denshi,IVS,
僱,50F1,20721,E01EA,10688,uni50F1-CM,uni50F1-CN,PUA,CM,
億,5104,20740,E0102,10721,uni5104uE0102-JP,uni5104-CN,Hanyo-Denshi,IVS,
儈,5108,20744,E0102,10728,uni5108uE0102-JP,uni5108-CN,Hanyo-Denshi,IVS,
儈,5108,20744,E0103,10729,uni5108uE0103-JP,uni5108-HK,Hanyo-Denshi,IVS,
充,5145,20805,E0102,10840,uni5145uE0102-JP,uni5145-CN,Hanyo-Denshi,IVS,
兊,514A,20810,E0102,10848,uni514AuE0102-JP,uni514A-CN,Hanyo-Denshi,IVS,
兩,5169,20841,E0102,10901,uni5169uE0102-JP,uni5169-CN,Hanyo-Denshi,IVS,
兪,516A,20842,E0102,10903,uni516AuE0102-JP,uni516A-CN,Hanyo-Denshi,IVS,
兮,516E,20846,E0102,10914,uni516EuE0102-JP,uni516E-CN,Hanyo-Denshi,IVS,
关,5173,20851,E0102,10924,uni5173-CL,uni5175-CN,Hanyo-Denshi,CL,
兼,517C,20860,E0105,10929,uni517CuE0105-JP,uni5179-CN,Hanyo-Denshi,IVS,
冗,5197,20887,E0102,10980,uni5197uE0102-JP,uni519E-TW,Hanyo-Denshi,IVS,
冚,519A,20890,/,10975,uni519A-CL,uni519A-CN,/,All,
军,519B,20891,E0100,10976,uni519B-CN,uni519B-CN,Hanyo-Denshi,All,
农,519C,20892,/,10977,uni519C-CN,uni519C-CN,/,All,
