文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.
飾,飾,98FE,39166,63028,uni98FEuE0101-JP,44381,uni98FE-JP,
餃,餃,9903,39171,44392,uni9903-JP,63029,uni9903uE0101-JP,
餅,餅,9905,39173,44396,uni9905-JP,62050,uni9905-JP90-JP,
餉,餉,9909,39177,44407,uni9909-JP,63030,uni9909uE0101-JP,
養,養,990A,39178,63031,uni990AuE0101-JP,44410,uni990A-JP,
餌,餌,990C,39180,44414,uni990C-JP,63033,uni990CuE0102-JP,
餐,餐,9910,39184,44421,uni9910-JP,62052,uni9910-JP90-JP,
餓,餓,9913,39187,63034,uni9913uE0101-JP,44430,uni9913-JP,
餡,餡,9921,39201,44470,uni9921-JP,63035,uni9921uE0101-JP,
館,館,9928,39208,58910,uniFA2C-JP,44486,uni9928-JP,
饅,饅,9945,39237,63037,uni9945uE0102-JP,63036,uni9945uE0101-JP,
饋,饋,994B,39243,44581,uni994B-JP,63038,uni994BuE0101-JP,
騙,騙,9A19,39449,44911,uni9A19-JP,62055,uni9A19-JP90-JP,
髯,髯,9AEF,39663,63046,uni9AEFuE0101-JP,45316,uni9AEF-JP,
魔,魔,9B54,39764,63052,uni9B54uE0101-JP,45543,uni9B54-JP,
鰻,鰻,9C3B,39995,45928,uni9C3B-TW,45927,uni9C3B-JP,
鱉,鱉,9C49,40009,45954,uni9C49-JP,45955,uni9C49-CN,
鷂,鷂,9DC2,40386,46510,uni9DC2-JP,63075,uni9DC2uE0101-JP,
麻,麻,9EBB,40635,63083,uni9EBBuE0101-JP,46962,uni9EBB-JP,
黷,黷,9EF7,40695,47096,uni9EF7-JP,47097,uni9EF7-CN,
龍,龍,9F8D,40845,63095,uni9F8DuE0102-JP,47443,uni9F8D-JP,
