文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.
扁,扁,6241,25153,18599,uni6241-JP,61927,uni6241-JP90-JP,
扇,扇,6247,25159,62315,uni6247uE0101-JP,18614,uni6247-JP,
扈,扈,6248,25160,62316,uni6248uE0101-JP,18618,uni6248-JP,
扉,扉,6249,25161,18622,uni6249-KR,62318,uni6249uE0102-JP,
抨,抨,62A8,25256,18765,uni62A8-JP,18766,uni62A8-CN,
拌,拌,62CC,25292,18816,uni62CC-JP,62322,uni62CCuE0101-JP,
拐,拐,62D0,25296,18824,uni62D0-JP,62324,uni62D0uE0101-JP,
拒,拒,62D2,25298,62325,uni62D2uE0101-JP,18826,uni62D2-JP,
挈,挈,6308,25352,18905,uni6308-JP,18907,uni6308-TW,
捋,捋,634B,25419,19010,uni634B-JP,19011,uni634B-CN,
捌,捌,634C,25420,19012,uni634C-JP,19013,uni634C-CN,
捎,捎,634E,25422,19015,uni634E-JP,19016,uni634E-CN,
排,排,6392,25490,19126,uni6392-JP,62335,uni6392uE0101-JP,
採,採,63A1,25505,62336,uni63A1uE0101-JP,19153,uni63A1-JP,
援,援,63F4,25588,62339,uni63F4uE0101-JP,19300,uni63F4-CN,
摒,摒,6452,25682,19466,uni6452-JP,19467,uni6452-CN,
摩,摩,6469,25705,62345,uni6469uE0101-JP,19509,uni6469-JP,
摺,摺,647A,25722,19540,uni647A-JP,61934,uni647A-JP90-JP,
撇,撇,6487,25735,19559,uni6487-JP,19560,uni6487-CN,
擄,擄,64C4,25796,19674,uni64C4-JP,19675,uni64C4-CN,
擲,擲,64F2,25842,19763,uni64F2-JP,19764,uni64F2-CN,
敝,敝,655D,25949,19966,uni655D-JP,19967,uni655D-CN,
敞,敞,655E,25950,19968,uni655E-JP,62350,uni655EuE0101-JP,
斃,斃,6583,25987,20026,uni6583-JP,62353,uni6583uE0101-JP,
旅,旅,65C5,26053,58862,uniF983-JP,20152,uni65C5-JP,
晴,晴,6674,26228,58877,uniFA12-JP,20436,uni6674-CN,
暑,暑,6691,26257,58931,uniFA43-JP,20484,uni6691-CN,
暖,暖,6696,26262,62372,uni6696uE0101-JP,20489,uni6696-CN,
暗,暗,6697,26263,62373,uni6697uE0101-JP,20490,uni6697-JP,
曙,曙,66D9,26329,62376,uni66D9uE0101-JP,20602,uni66D9-CN,
曼,曼,66FC,26364,62382,uni66FCuE0101-JP,20666,uni66FC-CN,
曾,曾,66FE,26366,20669,uni66FE-JP,20670,uni66FE-CN,
朗,朗,6717,26391,62391,uni6717uE0103-JP,20717,uni6717-JP,
栓,栓,6813,26643,62407,uni6813uE0101-JP,21098,uni6813-JP,
栩,栩,6829,26665,21137,uni6829-JP,21138,uni6829-CN,
梢,梢,68A2,26786,62416,uni68A2uE0101-JP,21332,uni68A2-CN,
楞,楞,695E,26974,62423,uni695EuE0101-JP,21671,uni695E-JP,
榔,榔,6994,27028,21769,uni6994-JP,61946,uni6994-JP90-JP,
榻,榻,69BB,27067,62429,uni69BBuE0101-JP,21844,uni69BB-CN,
構,構,69CB,27083,62431,uni69CBuE0101-JP,21878,uni69CB-JP,
樽,樽,6A3D,27197,22080,uni6A3D-JP,61949,uni6A3D-JP90-JP,
櫚,櫚,6ADA,27354,22360,uni6ADA-JP,22361,uni6ADA-CN,
櫛,櫛,6ADB,27355,22362,uni6ADB-JP,61950,uni6ADB-JP90-JP,
櫝,櫝,6ADD,27357,22368,uni6ADD-JP,22369,uni6ADD-CN,
欝,欝,6B1D,27421,62442,uni6B1DuE0101-JP,22486,uni6B1D-JP,
殺,殺,6BBA,27578,58861,uniF970-JP,22793,uni6BBA-JP,
氓,氓,6C13,27667,62450,uni6C13uE0101-JP,22957,uni6C13-KR,
沪,沪,6CAA,27818,62452,uni6CAAuE0101-JP,23184,uni6CAA-JP,
浩,浩,6D69,28009,61837,u2F903-JP,23464,uni6D69-CN,
浮,浮,6D6E,28014,62459,uni6D6EuE0101-JP,23471,uni6D6E-JP,
消,消,6D88,28040,62461,uni6D88uE0101-JP,23509,uni6D88-CN,
淌,淌,6DCC,28108,23619,uni6DCC-JP,23620,uni6DCC-CN,
淫,淫,6DEB,28139,23682,uni6DEB-JP,61953,uni6DEB-JP90-JP,
渚,渚,6E1A,28186,58934,uniFA46-JP,23757,uni6E1A-CN,
渠,渠,6E20,28192,23769,uni6E20-HK,23767,uni6E20-JP,
渣,渣,6E23,28195,23774,uni6E23-JP,62466,uni6E23uE0102-JP,
湮,湮,6E6E,28270,62468,uni6E6EuE0101-JP,23903,uni6E6E-CN,
溝,溝,6E9D,28317,62471,uni6E9DuE0101-JP,23973,uni6E9D-JP,
溢,溢,6EA2,28322,23982,uni6EA2-JP,61954,uni6EA2-JP90-JP,
溺,溺,6EBA,28346,24026,uni6EBA-JP,61955,uni6EBA-JP90-JP,
