標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
侮,侮,4FAE,20398,E0103,58912,uniFA30-JP,Hanyo-Denshi,,
侯,侯,4FAF,20399,E0101,10108,uni4FAF-JP,Hanyo-Denshi,,
侵,侵,4FB5,20405,E0102,10119,uni4FB5-JP,Hanyo-Denshi,,
侵,侵,4FB5,20405,E0103,62082,uni4FB5uE0101-JP,Hanyo-Denshi,,
侻,侻,4FBB,20411,E0101,10129,uni4FBB-JP,Hanyo-Denshi,,
便,便,4FBF,20415,E0102,10136,uni4FBF-CN,Hanyo-Denshi,,
便,便,4FBF,20415,E0103,62083,uni4FBFuE0101-JP,Hanyo-Denshi,,
俈,俈,4FC8,20424,E0101,10153,uni4FC8-JP,Hanyo-Denshi,,
俊,俊,4FCA,20426,E0101,10157,uni4FCA-JP,Hanyo-Denshi,,
俘,俘,4FD8,20440,E0101,10179,uni4FD8-JP,Hanyo-Denshi,,
倂,倂,5002,20482,E0101,10243,uni5002-JP,Hanyo-Denshi,,
倏,倏,500F,20495,E0101,10267,uni500F-JP,Hanyo-Denshi,,
倐,倐,5010,20496,E0101,10270,uni5010-JP,Hanyo-Denshi,,
倖,倖,5016,20502,E0101,10280,uni5016-JP,Hanyo-Denshi,,
倗,倗,5017,20503,E0101,10282,uni5017-JP,Hanyo-Denshi,,
倥,倥,5025,20517,E0101,10306,uni5025-JP,Hanyo-Denshi,,
倦,倦,5026,20518,E0102,61896,uni5026-JP90-JP,Hanyo-Denshi,,
倦,倦,5026,20518,E0103,10309,uni5026-JP,Hanyo-Denshi,,
倩,倩,5029,20521,E0101,10315,uni5029-JP,Hanyo-Denshi,,
倩,倩,5029,20521,E0104,10315,uni5029-JP,MSARG,,
倫,倫,502B,20523,E0101,10320,uni502B-JP,Hanyo-Denshi,,
倰,倰,5030,20528,E0101,10329,uni5030-JP,Hanyo-Denshi,,
偂,偂,5042,20546,E0101,10357,uni5042-JP,Hanyo-Denshi,,
偃,偃,5043,20547,E0101,10359,uni5043-JP,Hanyo-Denshi,,
偉,偉,5049,20553,E0102,10371,uni5049-JP,Hanyo-Denshi,,
偉,偉,5049,20553,E0105,62085,uni5049uE0101-JP,Moji-Joho,,
偌,偌,504C,20556,E0101,10377,uni504C-CN,Hanyo-Denshi,,
偏,偏,504F,20559,E0102,10382,uni504F-JP,Hanyo-Denshi,,
偏,偏,504F,20559,E0103,62086,uni504FuE0101-JP,Hanyo-Denshi,,
偕,偕,5055,20565,E0101,10393,uni5055-JP,Hanyo-Denshi,,
偖,偖,5056,20566,E0102,10396,uni5056-JP,Hanyo-Denshi,,
偖,偖,5056,20566,E0103,62087,uni5056uE0101-JP,Hanyo-Denshi,,
停,停,505C,20572,E0101,10405,uni505C-JP,Hanyo-Denshi,,
偠,偠,5060,20576,E0101,10412,uni5060-JP,Hanyo-Denshi,,
健,健,5065,20581,E0102,10424,uni5065-JP,Hanyo-Denshi,,
健,健,5065,20581,E0104,62088,uni5065uE0101-JP,Moji-Joho,,
偰,偰,5070,20592,E0101,10440,uni5070-JP,Hanyo-Denshi,,
傅,傅,5085,20613,E0102,10476,uni5085-CN,Hanyo-Denshi,,
傍,傍,508D,20621,E0101,10487,uni508D-JP,Hanyo-Denshi,,
傎,傎,508E,20622,E0101,10489,uni508E-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0103,10496,uni5091-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0104,62091,uni5091uE0102-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0105,62090,uni5091uE0101-JP,Moji-Joho,,
傔,傔,5094,20628,E0101,10505,uni5094-JP,Hanyo-Denshi,,
備,備,5099,20633,E0101,10515,uni5099-JP,Hanyo-Denshi,,
傢,傢,50A2,20642,E0101,10538,uni50A2-JP,Hanyo-Denshi,,
傯,傯,50AF,20655,E0101,10560,uni50AF-JP,Hanyo-Denshi,,
傰,傰,50B0,20656,E0101,10563,uni50B0-JP,Hanyo-Denshi,,
傳,傳,50B3,20659,E0101,10569,uni50B3-JP,Hanyo-Denshi,,
傻,傻,50BB,20667,E0101,10582,uni50BB-JP,Hanyo-Denshi,,
僅,僅,50C5,20677,E0102,61897,uni50C5-JP90-JP,Hanyo-Denshi,,
僅,僅,50C5,20677,E0103,10602,uni50C5-JP,Hanyo-Denshi,,
像,像,50CF,20687,E0102,10620,uni50CF-JP,Hanyo-Denshi,,
僙,僙,50D9,20697,E0101,10637,uni50D9-JP,Hanyo-Denshi,,
僞,僞,50DE,20702,E0101,10646,uni50DE-JP,Hanyo-Denshi,,
僟,僟,50DF,20703,E0101,10648,uni50DF-JP,Hanyo-Denshi,,
僧,僧,50E7,20711,E0102,10664,uni50E7-JP,Hanyo-Denshi,,
僧,僧,50E7,20711,E0105,58913,uniFA31-JP,Hanyo-Denshi,,
僨,僨,50E8,20712,E0101,10667,uni50E8-JP,Hanyo-Denshi,,
僭,僭,50ED,20717,E0102,10675,uni50ED-JP,Hanyo-Denshi,,
僭,僭,50ED,20717,E0103,62095,uni50EDuE0101-JP,Hanyo-Denshi,,
僮,僮,50EE,20718,E0101,10679,uni50EE-JP,Hanyo-Denshi,,
億,億,5104,20740,E0101,10720,uni5104-JP,Hanyo-Denshi,,
儈,儈,5108,20744,E0101,10727,uni5108-JP,Hanyo-Denshi,,
儐,儐,5110,20752,E0101,10743,uni5110-JP,Hanyo-Denshi,,
儔,儔,5114,20756,E0101,10750,uni5114-JP,Hanyo-Denshi,,
儚,儚,511A,20762,E0102,10760,uni511A-JP,Hanyo-Denshi,,
優,優,512A,20778,E0101,10787,uni512A-JP,Hanyo-Denshi,,
儬,儬,512C,20780,E0101,10791,uni512C-JP,Hanyo-Denshi,,
儱,儱,5131,20785,E0101,10802,uni5131-JP,Hanyo-Denshi,,
儲,儲,5132,20786,E0102,61898,uni5132-JP90-JP,Hanyo-Denshi,,
儲,儲,5132,20786,E0103,10805,uni5132-JP,Hanyo-Denshi,,
儺,儺,513A,20794,E0101,10823,uni513A-JP,Hanyo-Denshi,,
儻,儻,513B,20795,E0101,10825,uni513B-JP,Hanyo-Denshi,,
儼,儼,513C,20796,E0101,10826,uni513C-JP,Hanyo-Denshi,,
兀,兀,5140,20800,E0102,10831,uni5140-JP,Moji-Joho,,
兂,兂,5142,20802,E0101,10835,uni5142-JP,Hanyo-Denshi,,
充,充,5145,20805,E0101,10839,uni5145-JP,Hanyo-Denshi,,
兆,兆,5146,20806,E0102,10842,uni5146-CN,Moji-Joho,,
兆,兆,5146,20806,E0103,62098,uni5146uE0101-JP,Moji-Joho,,
兇,兇,5147,20807,E0101,10843,uni5147-JP,Hanyo-Denshi,,
兊,兊,514A,20810,E0101,10847,uni514A-JP,Hanyo-Denshi,,
兌,兌,514C,20812,E0101,10850,uni514C-JP,Hanyo-Denshi,,
免,免,514D,20813,E0102,10853,uni514D-JP,Hanyo-Denshi,,
免,免,514D,20813,E0104,58914,uniFA32-JP,Hanyo-Denshi,,
兎,兎,514E,20814,E0102,61899,uni514E-JP90-JP,Hanyo-Denshi,,
兎,兎,514E,20814,E0103,10855,uni514E-JP,Hanyo-Denshi,,
兓,兓,5153,20819,E0101,10861,uni5153-JP,Hanyo-Denshi,,
兔,兔,5154,20820,E0103,10863,uni5154-CN,Hanyo-Denshi,,
兔,兔,5154,20820,E0105,61806,u2F80F-JP,Hanyo-Denshi,,
兜,兜,515C,20828,E0101,10876,uni515C-JP,Hanyo-Denshi,,
全,全,5168,20840,E0102,10898,uni5168-JP,Hanyo-Denshi,,
全,全,5168,20840,E0103,62100,uni5168uE0101-JP,Hanyo-Denshi,,
兩,兩,5169,20841,E0101,10900,uni5169-JP,Hanyo-Denshi,,
兪,兪,516A,20842,E0101,10902,uni516A-JP,Hanyo-Denshi,,
八,八,516B,20843,E0102,10905,uni516B-JP,Hanyo-Denshi,,
八,八,516B,20843,E0103,62101,uni516BuE0101-JP,Hanyo-Denshi,,
公,公,516C,20844,E0102,10908,uni516C-JP,Hanyo-Denshi,,
公,公,516C,20844,E0103,62102,uni516CuE0101-JP,Hanyo-Denshi,,
兮,兮,516E,20846,E0101,10913,uni516E-JP,Hanyo-Denshi,,
具,具,5177,20855,E0102,10926,uni5177-JP,Hanyo-Denshi,,
具,具,5177,20855,E0104,62103,uni5177uE0101-JP,Hanyo-Denshi,,
典,典,5178,20856,E0101,10927,uni5178-CN,Hanyo-Denshi,,
养,养,517B,20859,E0101,10931,uni517B-JP,Hanyo-Denshi,,
兼,兼,517C,20860,E0102,10933,uni517C-CN,Hanyo-Denshi,,
兼,兼,517C,20860,E0104,62104,uni517CuE0101-JP,Hanyo-Denshi,,
冀,冀,5180,20864,E0101,10938,uni5180-JP,Hanyo-Denshi,,
内,内,5185,20869,E0101,10946,uni5185-CN,Hanyo-Denshi,,
冉,冉,5189,20873,E0102,10951,uni5189-CN,Hanyo-Denshi,,
冉,冉,5189,20873,E0103,62105,uni5189uE0101-JP,Hanyo-Denshi,,
再,再,518D,20877,E0102,10955,uni518D-CN,Hanyo-Denshi,,
再,再,518D,20877,E0103,61807,u2F815-JP,Hanyo-Denshi,,
冎,冎,518E,20878,E0101,10956,uni518E-JP,Hanyo-Denshi,,
冒,冒,5192,20882,E0102,10964,uni5192-JP,Hanyo-Denshi,,
冓,冓,5193,20883,E0102,10966,uni5193-JP,Hanyo-Denshi,,
冕,冕,5195,20885,E0103,10969,uni5195-CN,Hanyo-Denshi,,
冕,冕,5195,20885,E0105,61832,u2F8D3-JP,Hanyo-Denshi,,
冕,冕,5195,20885,E0106,62108,uni5195uE0102-JP,Hanyo-Denshi,,
冗,冗,5197,20887,E0101,10971,uni5197-CN,Hanyo-Denshi,,
冘,冘,5198,20888,E0101,10972,uni5198-JP,Hanyo-Denshi,,
冝,冝,519D,20893,E0101,10978,uni519D-JP,Hanyo-Denshi,,
