文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.,
嬮,嬮,5B2E,23342,15277,uni5B2E-CN,15279,uni5B2E-HK,80,
嬴,嬴,5B34,23348,15291,uni5B34-KR,15290,uni5B34-JP,81,
孈,孈,5B48,23368,15334,uni5B48-CN,15335,uni5B48-TW,82,
孊,孊,5B4A,23370,15337,uni5B4A-CN,15338,uni5B4A-HK,83,
孍,孍,5B4D,23373,15346,uni5B4D-CN,15347,uni5B4D-TW,84,
宬,宬,5BAC,23468,15531,uni5BAC-KR,15530,uni5BAC-JP,85,
害,害,5BB3,23475,15545,uni5BB3-JP,62227,uni5BB3uE0102-JP,86,
寑,寑,5BD1,23505,15605,uni5BD1-CN,15606,uni5BD1-TW,87,
将,将,5C06,23558,15719,uni5C06-JP,15720,uni5C06-CN,88,
尐,尐,5C10,23568,15737,uni5C10-CN,15739,uni5C10-HK,89,
尜,尜,5C1C,23580,15755,uni5C1C-CN,15756,uni5C1C-HK,90,
尳,尳,5C33,23603,15788,uni5C33-CN,15790,uni5C33-HK,91,
屄,屄,5C44,23620,15814,uni5C44-CN,15815,uni5C44-TW,92,
岋,岋,5C8B,23691,15939,uni5C8B-CN,15940,uni5C8B-TW,93,
岤,岤,5CA4,23716,15987,uni5CA4-CN,15988,uni5CA4-TW,94,
峑,峑,5CD1,23761,16075,uni5CD1-CN,16076,uni5CD1-HK,95,
峼,峼,5CFC,23804,16163,uni5CFC-CN,16164,uni5CFC-HK,96,
崩,崩,5D29,23849,16262,uni5D29-CN,62239,uni5D29uE0101-JP,97,
嵼,嵼,5D7C,23932,16427,uni5D7C-CN,16428,uni5D7C-TW,98,
嶵,嶵,5DB5,23989,16550,uni5DB5-CN,16551,uni5DB5-TW,99,
嶶,嶶,5DB6,23990,16552,uni5DB6-CN,16553,uni5DB6-HK,100,
巀,巀,5DC0,24000,16574,uni5DC0-CN,16575,uni5DC0-HK,101,
巂,巂,5DC2,24002,16578,uni5DC2-CN,16579,uni5DC2-TW,102,
巆,巆,5DC6,24006,16585,uni5DC6-CN,16586,uni5DC6-TW,103,
巔,巔,5DD4,24020,16614,uni5DD4-CN,16615,uni5DD4-HK,104,
帝,帝,5E1D,24093,16721,uni5E1D-JP,62249,uni5E1DuE0101-JP,105,
幔,幔,5E54,24148,16798,uni5E54-CN,62253,uni5E54uE0101-JP,106,
幰,幰,5E70,24176,16847,uni5E70-KR,16846,uni5E70-JP,107,
幵,幵,5E75,24181,16856,uni5E75-JP,16858,uni5E75-HK,108,
廋,廋,5ECB,24267,62260,uni5ECBuE0101-JP,17019,uni5ECB-JP,109,
廏,廏,5ECF,24271,17029,uni5ECF-JP,62261,uni5ECFuE0101-JP,110,
廐,廐,5ED0,24272,17032,uni5ED0-KR,62262,uni5ED0uE0101-JP,111,
廟,廟,5EDF,24287,61920,uni5EDF-JP90-JP,17069,uni5EDF-JP,112,
弅,弅,5F05,24325,17144,uni5F05-CN,17145,uni5F05-TW,113,
弒,弒,5F12,24338,17167,uni5F12-CN,17168,uni5F12-TW,114,
弚,弚,5F1A,24346,17182,uni5F1A-CN,17183,uni5F1A-TW,115,
弸,弸,5F38,24376,17244,uni5F38-JP,62273,uni5F38uE0101-JP,116,
彫,彫,5F6B,24427,17339,uni5F6B-JP,61825,u2F89A-JP,117,
徟,徟,5F9F,24479,17422,uni5F9F-CN,17424,uni5F9F-HK,118,
微,微,5FAE,24494,62278,uni5FAEuE0101-JP,17452,uni5FAE-JP,119,
忘,忘,5FD8,24536,17515,uni5FD8-JP,62281,uni5FD8uE0101-JP,120,
忙,忙,5FD9,24537,17518,uni5FD9-JP,62282,uni5FD9uE0101-JP,121,
忴,忴,5FF4,24564,17563,uni5FF4-CN,17564,uni5FF4-TW,122,
恐,恐,6050,24656,17700,uni6050-JP,62285,uni6050uE0101-JP,123,
恝,恝,605D,24669,17724,uni605D-TW,17722,uni605D-JP,124,
恢,恢,6062,24674,17731,uni6062-JP,62286,uni6062uE0101-JP,125,
恮,恮,606E,24686,17753,uni606E-CN,17754,uni606E-TW,126,
悜,悜,609C,24732,17827,uni609C-CN,17828,uni609C-TW,127,
悟,悟,609F,24735,17833,uni609F-CN,17834,uni609F-TW,128,
惆,惆,60C6,24774,17906,uni60C6-CN,17905,uni60C6-JP,129,
惗,惗,60D7,24791,17932,uni60D7-CN,17933,uni60D7-HK,130,
惘,惘,60D8,24792,17935,uni60D8-KR,17934,uni60D8-JP,131,
惾,惾,60FE,24830,17992,uni60FE-CN,17994,uni60FE-HK,132,
意,意,610F,24847,18027,uni610F-JP,62295,uni610FuE0101-JP,133,
愮,愮,612E,24878,18081,uni612E-CN,18083,uni612E-HK,134,
愲,愲,6132,24882,18089,uni6132-TW,18090,uni6132-HK,135,
慌,慌,614C,24908,18144,uni614C-JP,62297,uni614CuE0101-JP,136,
慢,慢,6162,24930,18183,uni6162-JP,62299,uni6162uE0101-JP,137,
憌,憌,618C,24972,18273,uni618C-CN,18274,uni618C-TW,138,
憲,憲,61B2,25010,18339,uni61B2-JP,62308,uni61B2uE0102-JP,139,
懕,懕,61D5,25045,18411,uni61D5-JP,18412,uni61D5-CN,140,
懚,懚,61DA,25050,18418,uni61DA-CN,18419,uni61DA-HK,141,
懜,懜,61DC,25052,18421,uni61DC-JP,18422,uni61DC-CN,142,
懨,懨,61E8,25064,18443,uni61E8-JP,18445,uni61E8-HK,143,
戎,戎,620E,25102,18516,uni620E-JP,18517,uni620E-CN,144,
成,成,6210,25104,18519,uni6210-CN,61829,u2F8B2-JP,145,
戺,戺,623A,25146,18583,uni623A-CN,18584,uni623A-TW,146,
扨,扨,6268,25192,18671,uni6268-JP,18672,uni6268-CN,147,
扲,扲,6272,25202,18687,uni6272-CN,18688,uni6272-TW,148,
拷,拷,62F7,25335,18880,uni62F7-JP,62327,uni62F7uE0101-JP,149,
拸,拸,62F8,25336,18882,uni62F8-CN,18883,uni62F8-TW,150,
挱,挱,6331,25393,18969,uni6331-CN,18970,uni6331-HK,151,
掋,掋,638B,25483,19115,uni638B-CN,19116,uni638B-HK,152,
掰,掰,63B0,25520,19185,uni63B0-CN,19186,uni63B0-TW,153,
掽,掽,63BD,25533,19199,uni63BD-JP,19200,uni63BD-CN,154,
揃,揃,63C3,25539,61932,uni63C3-JP90-JP,19208,uni63C3-JP,155,
揇,揇,63C7,25543,19218,uni63C7-CN,19219,uni63C7-HK,156,
揙,揙,63D9,25561,19250,uni63D9-CN,19251,uni63D9-TW,157,
搜,搜,641C,25628,19362,uni641C-JP,62342,uni641CuE0101-JP,158,
搳,搳,6433,25651,19416,uni6433-CN,19418,uni6433-HK,159,*以上整理完畢
擶,擶,64F6,25846,19773,uni64F6-JP,62347,uni64F6uE0101-JP,160,
明,明,660E,26126,20282,uni660E-JP,62362,uni660EuE0101-JP,161,
晟,晟,665F,26207,20400,uni665F-CN,62365,uni665FuE0102-JP,162,
晧,晧,6667,26215,62367,uni6667uE0101-JP,20414,uni6667-JP,163,
暗,暗,6697,26263,20490,uni6697-JP,62373,uni6697uE0101-JP,164,
曁,曁,66C1,26305,62375,uni66C1uE0102-JP,62374,uni66C1uE0101-JP,165,
曼,曼,66FC,26364,20666,uni66FC-CN,62382,uni66FCuE0101-JP,166,
月,月,6708,26376,20694,uni6708-CN,62384,uni6708uE0101-JP,167,
朋,朋,670B,26379,20698,uni670B-CN,62386,uni670BuE0101-JP,168,
服,服,670D,26381,20700,uni670D-CN,62387,uni670DuE0101-JP,169,
朕,朕,6715,26389,62388,uni6715uE0101-JP,62389,uni6715uE0102-JP,170,
朗,朗,6717,26391,62390,uni6717uE0102-JP,62391,uni6717uE0103-JP,171,
朘,朘,6718,26392,20719,uni6718-CN,20721,uni6718-HK,172,
朝,朝,671D,26397,20732,uni671D-JP,62394,uni671DuE0101-JP,173,
期,期,671F,26399,20735,uni671F-CN,62395,uni671FuE0101-JP,174,
杓,杓,6753,26451,61940,uni6753-JP90-JP,20816,uni6753-JP,175,
枦,枦,67A6,26534,20937,uni67A6-JP,62398,uni67A6uE0101-JP,176,
棚,棚,68DA,26842,21435,uni68DA-CN,62418,uni68DAuE0101-JP,177,
梏,梏,688F,26767,21300,uni688F-CN,21299,uni688F-JP,178,
楞,楞,695E,26974,21671,uni695E-JP,62423,uni695EuE0101-JP,179,
概,概,6982,27010,21741,uni6982-JP,62427,uni6982uE0103-JP,180,
槾,槾,69FE,27134,21974,uni69FE-JP,62433,uni69FEuE0101-JP,181,
橕,橕,6A55,27221,22126,uni6A55-JP,62435,uni6A55uE0101-JP,182,
櫝,櫝,6ADD,27357,22369,uni6ADD-CN,22368,uni6ADD-JP,183,
欝,欝,6B1D,27421,22486,uni6B1D-JP,62442,uni6B1DuE0101-JP,184,
欤,欤,6B24,27428,22501,uni6B24-JP,62445,uni6B24uE0101-JP,185,
氓,氓,6C13,27667,22957,uni6C13-KR,62450,uni6C13uE0101-JP,186,
沪,沪,6CAA,27818,23184,uni6CAA-JP,62453,uni6CAAuE0102-JP,187,
沿,沿,6CBF,27839,61836,u2F8FC-JP,62454,uni6CBFuE0102-JP,188,
浩,浩,6D69,28009,23464,uni6D69-CN,61837,u2F903-JP,189,
湔,湔,6E54,28244,23860,uni6E54-CN,23859,uni6E54-JP,190,
滛,滛,6EDB,28379,24099,uni6EDB-JP,62475,uni6EDBuE0101-JP,191,
漰,漰,6F30,28464,24255,uni6F30-CN,24254,uni6F30-JP,192,
潔,潔,6F54,28500,24314,uni6F54-KR,62482,uni6F54uE0101-JP,193,
