標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
众,众,4F17,20247,E0101,9883,uni4F17-JP,Hanyo-Denshi,,
伳,伳,4F33,20275,E0101,9920,uni4F33-JP,Moji-Joho,,
伴,伴,4F34,20276,E0102,9922,uni4F34-JP,Hanyo-Denshi,,
伴,伴,4F34,20276,E0103,62077,uni4F34uE0101-JP,Hanyo-Denshi,,
伵,伵,4F35,20277,E0101,9923,uni4F35-JP,Hanyo-Denshi,,
伶,伶,4F36,20278,E0101,9924,uni4F36-JP,Hanyo-Denshi,,
似,似,4F3C,20284,E0101,9933,uni4F3C-JP,Hanyo-Denshi,,
佀,佀,4F40,20288,E0101,9939,uni4F40-JP,Hanyo-Denshi,,
住,住,4F4F,20303,E0102,9960,uni4F4F-JP,Hanyo-Denshi,,
住,住,4F4F,20303,E0103,62078,uni4F4FuE0101-JP,Hanyo-Denshi,,
佐,佐,4F50,20304,E0101,9962,uni4F50-JP,Hanyo-Denshi,,
体,体,4F53,20307,E0101,9966,uni4F53-CN,Hanyo-Denshi,,
佟,佟,4F5F,20319,E0101,9985,uni4F5F-JP,Hanyo-Denshi,,
你,你,4F60,20320,E0102,9987,uni4F60-CN,Hanyo-Denshi,,
你,你,4F60,20320,E0103,61805,u2F804-JP,Hanyo-Denshi,,
佩,佩,4F69,20329,E0101,10000,uni4F69-CN,Hanyo-Denshi,,
佪,佪,4F6A,20330,E0101,10001,uni4F6A-JP,Hanyo-Denshi,,
佶,佶,4F76,20342,E0101,10018,uni4F76-CN,Hanyo-Denshi,,
佺,佺,4F7A,20346,E0101,10023,uni4F7A-JP,Hanyo-Denshi,,
佼,佼,4F7C,20348,E0101,10027,uni4F7C-JP,Moji-Joho,,
佼,佼,4F7C,20348,E0102,10027,uni4F7C-JP,Moji-Joho,,
佽,佽,4F7D,20349,E0101,10029,uni4F7D-JP,Hanyo-Denshi,,
佾,佾,4F7E,20350,E0101,10032,uni4F7E-JP,Hanyo-Denshi,,
使,使,4F7F,20351,E0102,10035,uni4F7F-CN,Hanyo-Denshi,,
使,使,4F7F,20351,E0103,62081,uni4F7FuE0101-JP,Hanyo-Denshi,,
侃,侃,4F83,20355,E0101,10041,uni4F83-CN,Moji-Joho,,
侉,侉,4F89,20361,E0101,10051,uni4F89-JP,Hanyo-Denshi,,
侖,侖,4F96,20374,E0101,10072,uni4F96-JP,Hanyo-Denshi,,
価,価,4FA1,20385,E0101,10091,uni4FA1-JP,Hanyo-Denshi,,
侫,侫,4FAB,20395,E0101,10101,uni4FAB-JP,Hanyo-Denshi,,
