標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
竇,竇,7AC7,31431,E01EF,29601,uni7AC7-KR,PUA,Self Use Only,
笧,笧,7B27,31527,E01EF,29793,uni7B27-CN,PUA,Self Use Only,
筲,筲,7B72,31602,E0102,29939,uni7B72-CN,Hanyo-Denshi,,
箉,箉,7B89,31625,E01EF,29982,uni7B89-CN,PUA,Self Use Only,
箐,箐,7B90,31632,E0102,30000,uni7B90-CN,Hanyo-Denshi,,
箾,箾,7BBE,31678,E01EF,30092,uni7BBE-CN,PUA,Self Use Only,
簉,簉,7C09,31753,E0103,30259,uni7C09-KR,Hanyo-Denshi,,
簿,簿,7C3F,31807,E0103,30377,uni7C3F-CN,Hanyo-Denshi,,
类,类,7C7B,31867,E0101,30519,uni7C7B-CN,Hanyo-Denshi,,
籾,籾,7C7E,31870,E0105,30527,uni7C7E-CN,Hanyo-Denshi,,
粢,粢,7CA2,31906,E01EF,30595,uni7CA2-CN,PUA,Self Use Only,
粣,粣,7CA3,31907,E01EE,30597,uni7CA3-CN,PUA,Self Use Only,
粣,粣,7CA3,31907,E01EF,30599,uni7CA3-HK,PUA,Self Use Only,
糏,糏,7CCF,31951,E01EF,30691,uni7CCF-CN,PUA,Self Use Only,
糙,糙,7CD9,31961,E01EF,30718,uni7CD9-KR,PUA,Self Use Only,
絳,絳,7D73,32115,E0103,31034,uni7D73-KR,Hanyo-Denshi,,
綢,綢,7DA2,32162,E0102,31132,uni7DA2-KR,Hanyo-Denshi,,
繩,繩,7E69,32361,E0102,31565,uni7E69-KR,Hanyo-Denshi,,
纛,纛,7E9B,32411,E01EF,31679,uni7E9B-KR,PUA,Self Use Only,
罔,罔,7F54,32596,E0102,31909,uni7F54-KR,Hanyo-Denshi,,
罾,罾,7F7E,32638,E01EF,31977,uni7F7E-CN,PUA,Self Use Only,
羐,羐,7F90,32656,E0102,32012,uni7F90-CN,Hanyo-Denshi,,
羸,羸,7FB8,32696,E0102,32085,uni7FB8-KR,Hanyo-Denshi,,
翦,翦,7FE6,32742,E0103,32197,uni7FE6-KR,Hanyo-Denshi,,
翫,翫,7FEB,32747,E0104,32214,uni7FEB-KR,Moji-Joho,,
翼,翼,7FFC,32764,E0105,32257,uni7FFC-KR,Hanyo-Denshi,,
肎,肎,808E,32910,E0102,32548,uni808E-CN,Hanyo-Denshi,,
肓,肓,8093,32915,E0102,32556,uni8093-KR,Hanyo-Denshi,,
腴,腴,8174,33140,E0102,33016,uni8174-KR,Hanyo-Denshi,,
膄,膄,8184,33156,E0102,33052,uni8184-KR,Hanyo-Denshi,,
膋,膋,818B,33163,E0102,33070,uni818B-CN,Hanyo-Denshi,,
臖,臖,81D6,33238,E01EF,33240,uni81D6-CN,PUA,Self Use Only,
臝,臝,81DD,33245,E01EF,33257,uni81DD-KR,PUA,Self Use Only,
臾,臾,81FE,33278,E0102,33328,uni81FE-KR,Hanyo-Denshi,,
舞,舞,821E,33310,E01EF,33398,uni821E-KR,PUA,Self Use Only,
苳,苳,82F3,33523,E0103,33875,uni82F3-CN,Hanyo-Denshi,,
苹,苹,82F9,33529,E0103,33887,uni82F9-CN,Hanyo-Denshi,,
茫,茫,832B,33579,E0103,33989,uni832B-KR,Hanyo-Denshi,,
荿,荿,837F,33663,E0104,34152,uni837F-CN,Hanyo-Denshi,,
菁,菁,83C1,33729,E0104,34284,uni83C1-CN,Hanyo-Denshi,,
萸,萸,8438,33848,E01EF,34543,uni8438-KR,PUA,Self Use Only,
蒨,蒨,84A8,33960,E0103,34803,uni84A8-CN,Hanyo-Denshi,,
蒹,蒹,84B9,33977,E0103,34840,uni84B9-CN,Hanyo-Denshi,,
蔳,蔳,8533,34099,E0102,35150,uni8533-CN,Hanyo-Denshi,,
藚,藚,85DA,34266,E0102,35543,uni85DA-CN,Hanyo-Denshi,,
虁,虁,8641,34369,E01EF,35807,uni8641-KR,PUA,Self Use Only,
虻,虻,867B,34427,E0102,35919,uni867B-KR,Hanyo-Denshi,,
蚈,蚈,8688,34440,E0102,35936,uni8688-CN,Hanyo-Denshi,,
蚋,蚋,868B,34443,E0102,35942,uni868B-CN,Hanyo-Denshi,,
蚌,蚌,868C,34444,E0102,35944,uni868C-TW,Hanyo-Denshi,,
